time,open,high,low,close,spread_price
2024-01-22 10:30:00,1947.1,1947.15,1947.1,1947.1,0.2
2024-01-22 10:45:00,1947.1,1948.35,1947.1,1947.4,0.2
2024-01-22 11:00:00,1947.35,1949.6,1946.9,1949.3,0.2
2024-01-22 11:15:00,1949.35,1950.5,1949.2,1950.4,0.2
2024-01-22 11:30:00,1950.4,1953.9,1950.35,1952.6,0.2
2024-01-22 11:45:00,1952.6,1952.6,1950.5,1950.5,0.2
2024-01-22 12:00:00,1950.45,1952.4,1950.3,1952.3,0.2
2024-01-22 12:15:00,1952.3,1954.0,1952.0,1953.6,0.2
2024-01-22 12:30:00,1953.55,1954.55,1952.25,1954.2,0.2
2024-01-22 12:45:00,1954.15,1954.2,1952.9,1953.4,0.2
2024-01-22 13:00:00,1953.4,1954.9,1952.95,1953.8,0.2
2024-01-22 13:15:00,1953.8,1957.1,1953.0,1956.8,0.2
2024-01-22 13:30:00,1956.75,1957.3,1951.9,1952.4,0.2
2024-01-22 13:45:00,1952.4,1961.05,1952.25,1960.4,0.2
2024-01-22 14:00:00,1960.4,1960.5,1957.35,1957.9,0.2
2024-01-22 14:15:00,1958.05,1962.8,1957.55,1958.6,0.2
2024-01-22 14:30:00,1958.5,1970.9,1957.75,1969.4,0.2
2024-01-22 14:45:00,1969.4,1982.3,1967.2,1979.8,0.2
2024-01-22 15:00:00,1979.8,1983.5,1976.95,1980.0,0.2
2024-01-22 15:15:00,1980.05,1985.75,1979.6,1982.1,0.2
2024-01-22 15:30:00,1982.1,1982.15,1973.15,1973.4,0.2
2024-01-22 15:45:00,1973.5,1975.35,1969.4,1973.2,0.2
2024-01-22 16:00:00,1973.2,1974.35,1970.15,1974.1,0.2
2024-01-22 16:15:00,1974.1,1977.15,1973.0,1977.05,0.2
2024-01-22 16:30:00,1977.0,1977.4,1972.15,1972.45,0.2
2024-01-22 16:45:00,1972.45,1976.95,1972.2,1976.0,0.2
2024-01-22 17:00:00,1976.0,1976.5,1970.15,1971.65,0.2
2024-01-22 17:15:00,1971.65,1974.25,1969.65,1973.9,0.2
2024-01-22 17:30:00,1973.85,1974.55,1970.65,1972.9,0.2
2024-01-22 17:45:00,1972.85,1973.95,1970.7,1971.9,0.2
2024-01-22 18:00:00,1971.9,1973.75,1969.95,1973.45,0.2
2024-01-22 18:15:00,1973.45,1974.05,1964.45,1965.4,0.2
