time,open,high,low,close,volume
2023-07-12 03:30:00,1939.07,1939.85,1938.29,1939.37,899
2023-07-12 03:45:00,1939.41,1939.75,1938.23,1938.53,628
2023-07-12 04:00:00,1938.53,1939.15,1938.23,1938.29,739
2023-07-12 04:15:00,1938.31,1938.62,1937.64,1937.68,700
2023-07-12 04:30:00,1937.68,1938.28,1937.59,1938.13,737
2023-07-12 04:45:00,1938.09,1939.07,1937.8,1938.9,557
2023-07-12 05:00:00,1938.9,1939.32,1938.13,1938.95,694
2023-07-12 05:15:00,1938.95,1940.26,1938.73,1939.21,1061
2023-07-12 05:30:00,1939.19,1939.49,1937.88,1938.35,1441
2023-07-12 05:45:00,1938.35,1939.5,1938.1,1938.61,1031
2023-07-12 06:00:00,1938.62,1940.21,1938.48,1938.83,1347
2023-07-12 06:15:00,1938.8,1939.05,1937.44,1937.54,1084
2023-07-12 06:30:00,1937.52,1937.74,1934.74,1934.89,1464
2023-07-12 06:45:00,1934.88,1935.81,1934.34,1934.86,1361
2023-07-12 07:00:00,1934.83,1935.63,1933.88,1934.88,1380
2023-07-12 07:15:00,1934.87,1935.71,1934.33,1935.71,978
2023-07-12 07:30:00,1935.67,1936.12,1933.98,1934.48,1286
2023-07-12 07:45:00,1934.49,1934.73,1934.0,1934.73,1031
2023-07-12 08:00:00,1934.76,1934.76,1933.74,1934.42,1320
2023-07-12 08:15:00,1934.47,1935.38,1934.29,1935.02,1232
2023-07-12 08:30:00,1935.05,1936.22,1934.3,1935.38,930
2023-07-12 08:45:00,1935.38,1936.5,1934.77,1934.8,924
2023-07-12 09:00:00,1934.8,1935.38,1934.4,1934.94,918
2023-07-12 09:15:00,1934.96,1936.35,1934.75,1935.64,768
2023-07-12 09:30:00,1935.61,1935.84,1934.9,1935.28,719
2023-07-12 09:45:00,1935.28,1935.65,1935.09,1935.45,531
2023-07-12 10:00:00,1935.45,1935.51,1934.31,1934.72,801
2023-07-12 10:15:00,1934.73,1934.79,1933.77,1934.33,699
2023-07-12 10:30:00,1934.33,1934.77,1933.9,1934.08,752
2023-07-12 10:45:00,1934.08,1934.42,1933.87,1934.27,750
2023-07-12 11:00:00,1934.27,1934.78,1933.92,1934.46,817
2023-07-12 11:15:00,1934.46,1935.15,1933.5,1934.14,1061
2023-07-12 11:30:00,1934.17,1936.45,1934.16,1935.2,1153
2023-07-12 11:45:00,1935.19,1935.76,1934.08,1934.69,1042
2023-07-12 12:00:00,1934.66,1934.93,1933.7,1934.03,1126
2023-07-12 12:15:00,1934.03,1935.31,1933.59,1934.89,1842
2023-07-12 12:30:00,1934.89,1950.06,1934.62,1946.76,5914
2023-07-12 12:45:00,1946.72,1947.7,1941.85,1943.23,4593
2023-07-12 13:00:00,1943.23,1945.54,1940.97,1945.54,4354
2023-07-12 13:15:00,1945.52,1951.59,1945.09,1951.25,3694
2023-07-12 13:30:00,1951.25,1954.77,1950.43,1951.75,4382
2023-07-12 13:45:00,1951.67,1957.37,1951.65,1956.07,3864
2023-07-12 14:00:00,1955.92,1957.38,1952.56,1956.56,4150
2023-07-12 14:15:00,1956.56,1957.2,1954.27,1954.48,2855
2023-07-12 14:30:00,1954.5,1957.12,1953.59,1957.1,2638
