time,open,high,low,close,volume
2023-09-04 13:45:00,146.425,146.429,146.388,146.426,330
2023-09-04 14:00:00,146.427,146.448,146.403,146.427,422
2023-09-04 14:15:00,146.427,146.45,146.422,146.431,180
2023-09-04 14:30:00,146.431,146.458,146.405,146.453,288
2023-09-04 14:45:00,146.453,146.463,146.416,146.45,341
2023-09-04 15:00:00,146.45,146.472,146.423,146.458,241
2023-09-04 15:15:00,146.458,146.475,146.435,146.453,233
2023-09-04 15:30:00,146.453,146.493,146.453,146.487,97
2023-09-04 15:45:00,146.487,146.492,146.458,146.458,115
2023-09-04 16:00:00,146.457,146.488,146.454,146.485,83
2023-09-04 16:15:00,146.485,146.494,146.48,146.481,61
2023-09-04 16:30:00,146.481,146.49,146.481,146.49,40
2023-09-04 16:45:00,146.49,146.494,146.484,146.486,77
2023-09-04 17:00:00,146.486,146.491,146.481,146.481,29
2023-09-04 17:15:00,146.481,146.484,146.47,146.478,48
2023-09-04 17:30:00,146.478,146.491,146.477,146.491,46
2023-09-04 17:45:00,146.491,146.492,146.489,146.492,29
2023-09-04 18:00:00,146.492,146.493,146.49,146.491,32
2023-09-04 18:15:00,146.491,146.494,146.49,146.49,38
2023-09-04 18:30:00,146.49,146.491,146.48,146.488,114
2023-09-04 18:45:00,146.488,146.49,146.48,146.489,46
2023-09-04 19:00:00,146.489,146.494,146.488,146.49,32
2023-09-04 19:15:00,146.49,146.491,146.481,146.485,82
2023-09-04 19:30:00,146.485,146.493,146.479,146.49,40
2023-09-04 19:45:00,146.492,146.492,146.485,146.487,52
2023-09-04 20:00:00,146.486,146.494,146.478,146.492,66
2023-09-04 20:15:00,146.492,146.495,146.476,146.49,81
2023-09-04 20:30:00,146.49,146.49,146.475,146.483,44
2023-09-04 20:45:00,146.483,146.491,146.457,146.466,74
2023-09-04 21:00:00,146.366,146.441,146.344,146.408,70
2023-09-04 21:15:00,146.408,146.432,146.387,146.43,36
2023-09-04 21:30:00,146.43,146.469,146.429,146.466,48
2023-09-04 21:45:00,146.466,146.467,146.432,146.453,35
2023-09-04 22:00:00,146.458,146.486,146.451,146.467,181
2023-09-04 22:15:00,146.466,146.486,146.464,146.465,54
2023-09-04 22:30:00,146.465,146.517,146.465,146.493,203
2023-09-04 22:45:00,146.493,146.52,146.493,146.516,109
2023-09-04 23:00:00,146.516,146.516,146.48,146.489,114
2023-09-04 23:15:00,146.489,146.502,146.482,146.501,78
2023-09-04 23:30:00,146.501,146.54,146.501,146.529,150
2023-09-04 23:45:00,146.529,146.556,146.527,146.538,218
2023-09-05 00:00:00,146.537,146.597,146.488,146.574,481
2023-09-05 00:15:00,146.574,146.621,146.573,146.607,419
2023-09-05 00:30:00,146.607,146.619,146.553,146.573,360
2023-09-05 00:45:00,146.573,146.609,146.507,146.515,556
2023-09-05 01:00:00,146.515,146.59,146.488,146.558,409
2023-09-05 01:15:00,146.549,146.591,146.529,146.561,273
2023-09-05 01:30:00,146.557,146.597,146.543,146.588,391
2023-09-05 01:45:00,146.59,146.646,146.562,146.623,521
2023-09-05 02:00:00,146.622,146.658,146.608,146.649,348
2023-09-05 02:15:00,146.65,146.676,146.633,146.676,160
2023-09-05 02:30:00,146.676,146.725,146.668,146.7,281
2023-09-05 02:45:00,146.7,146.724,146.667,146.721,282
2023-09-05 03:00:00,146.721,146.774,146.72,146.751,346
2023-09-05 03:15:00,146.751,146.761,146.718,146.744,227
2023-09-05 03:30:00,146.744,146.753,146.707,146.743,172
2023-09-05 03:45:00,146.742,146.755,146.728,146.74,199
2023-09-05 04:00:00,146.74,146.749,146.707,146.738,264
2023-09-05 04:15:00,146.738,146.747,146.701,146.71,153
2023-09-05 04:30:00,146.71,146.713,146.641,146.66,237
2023-09-05 04:45:00,146.665,146.701,146.659,146.666,333
2023-09-05 05:00:00,146.666,146.742,146.656,146.742,224
2023-09-05 05:15:00,146.742,146.759,146.71,146.751,215
2023-09-05 05:30:00,146.751,146.831,146.745,146.83,405
2023-09-05 05:45:00,146.83,146.874,146.814,146.846,453
2023-09-05 06:00:00,146.846,146.874,146.814,146.856,840
2023-09-05 06:15:00,146.856,146.991,146.852,146.97,694
2023-09-05 06:30:00,146.971,147.022,146.946,146.957,645
2023-09-05 06:45:00,146.957,147.06,146.909,146.96,912
2023-09-05 07:00:00,146.96,146.981,146.844,146.871,1120
2023-09-05 07:15:00,146.871,146.968,146.835,146.966,822
2023-09-05 07:30:00,146.966,147.087,146.937,147.014,741
2023-09-05 07:45:00,147.014,147.014,146.899,146.911,749
2023-09-05 08:00:00,146.911,146.971,146.837,146.863,954
2023-09-05 08:15:00,146.862,146.95,146.842,146.934,697
2023-09-05 08:30:00,146.934,146.975,146.899,146.974,627
2023-09-05 08:45:00,146.973,147.036,146.955,147.004,409
2023-09-05 09:00:00,147.004,147.029,146.952,146.98,462
2023-09-05 09:15:00,146.98,147.097,146.978,147.085,586
2023-09-05 09:30:00,147.085,147.1,147.037,147.085,477
2023-09-05 09:45:00,147.085,147.185,147.08,147.182,490
2023-09-05 10:00:00,147.183,147.2,147.155,147.193,339
2023-09-05 10:15:00,147.193,147.251,147.174,147.243,643
2023-09-05 10:30:00,147.243,147.275,147.22,147.245,715
2023-09-05 10:45:00,147.245,147.255,147.205,147.228,651
2023-09-05 11:00:00,147.228,147.286,147.205,147.21,623
2023-09-05 11:15:00,147.21,147.312,147.196,147.31,381
2023-09-05 11:30:00,147.31,147.333,147.245,147.315,525
2023-09-05 11:45:00,147.315,147.347,147.312,147.342,525
2023-09-05 12:00:00,147.343,147.423,147.331,147.383,684
2023-09-05 12:15:00,147.379,147.483,147.379,147.447,661
2023-09-05 12:30:00,147.448,147.502,147.103,147.255,1375
2023-09-05 12:45:00,147.265,147.39,147.079,147.197,2212
2023-09-05 13:00:00,147.196,147.386,147.137,147.367,1762
2023-09-05 13:15:00,147.367,147.443,147.253,147.338,1384
2023-09-05 13:30:00,147.324,147.443,147.295,147.418,1643
2023-09-05 13:45:00,147.418,147.601,147.337,147.53,1473
2023-09-05 14:00:00,147.532,147.705,147.518,147.551,1649
2023-09-05 14:15:00,147.551,147.561,147.464,147.509,869
2023-09-05 14:30:00,147.508,147.647,147.455,147.647,921
2023-09-05 14:45:00,147.647,147.696,147.625,147.694,1025
2023-09-05 15:00:00,147.694,147.733,147.591,147.605,985
2023-09-05 15:15:00,147.606,147.686,147.606,147.666,761
2023-09-05 15:30:00,147.668,147.692,147.63,147.631,759
2023-09-05 15:45:00,147.631,147.637,147.582,147.628,723
2023-09-05 16:00:00,147.627,147.634,147.556,147.606,481
2023-09-05 16:15:00,147.606,147.632,147.561,147.631,406
2023-09-05 16:30:00,147.631,147.648,147.588,147.61,375
2023-09-05 16:45:00,147.61,147.657,147.589,147.633,399
2023-09-05 17:00:00,147.633,147.717,147.581,147.713,442
2023-09-05 17:15:00,147.713,147.73,147.687,147.704,489
2023-09-05 17:30:00,147.705,147.756,147.705,147.733,311
2023-09-05 17:45:00,147.735,147.802,147.72,147.779,432
2023-09-05 18:00:00,147.779,147.784,147.717,147.719,333
2023-09-05 18:15:00,147.719,147.759,147.7,147.749,238
2023-09-05 18:30:00,147.749,147.764,147.735,147.758,162
2023-09-05 18:45:00,147.758,147.782,147.748,147.759,338
2023-09-05 19:00:00,147.759,147.769,147.739,147.755,439
2023-09-05 19:15:00,147.755,147.76,147.685,147.689,202
2023-09-05 19:30:00,147.689,147.732,147.676,147.73,298
2023-09-05 19:45:00,147.73,147.76,147.703,147.724,471
2023-09-05 20:00:00,147.724,147.734,147.709,147.72,215
2023-09-05 20:15:00,147.72,147.736,147.698,147.698,140
2023-09-05 20:30:00,147.698,147.717,147.68,147.69,74
2023-09-05 20:45:00,147.69,147.723,147.684,147.709,185
2023-09-05 21:00:00,147.719,147.721,147.601,147.675,54
2023-09-05 21:15:00,147.676,147.708,147.598,147.661,53
2023-09-05 21:30:00,147.661,147.675,147.661,147.669,84
2023-09-05 21:45:00,147.669,147.688,147.664,147.679,111
2023-09-05 22:00:00,147.672,147.697,147.668,147.68,117
2023-09-05 22:15:00,147.674,147.674,147.615,147.62,94
2023-09-05 22:30:00,147.62,147.644,147.619,147.623,68
2023-09-05 22:45:00,147.623,147.633,147.607,147.621,60
2023-09-05 23:00:00,147.621,147.629,147.385,147.492,588
2023-09-05 23:15:00,147.492,147.505,147.41,147.434,287
2023-09-05 23:30:00,147.434,147.462,147.4,147.46,283
2023-09-05 23:45:00,147.46,147.48,147.357,147.46,288
2023-09-06 00:00:00,147.458,147.593,147.448,147.567,603
2023-09-06 00:15:00,147.567,147.597,147.536,147.577,626
2023-09-06 00:30:00,147.575,147.708,147.573,147.701,507
2023-09-06 00:45:00,147.701,147.818,147.696,147.771,1096
2023-09-06 01:00:00,147.771,147.776,147.711,147.726,594
2023-09-06 01:15:00,147.726,147.771,147.646,147.657,555
2023-09-06 01:30:00,147.656,147.728,147.629,147.712,576
2023-09-06 01:45:00,147.712,147.728,147.629,147.659,470
2023-09-06 02:00:00,147.659,147.67,147.567,147.571,249
2023-09-06 02:15:00,147.571,147.609,147.57,147.594,249
2023-09-06 02:30:00,147.594,147.603,147.523,147.523,339
2023-09-06 02:45:00,147.523,147.563,147.506,147.523,264
2023-09-06 03:00:00,147.523,147.557,147.472,147.484,233
2023-09-06 03:15:00,147.484,147.555,147.433,147.528,517
2023-09-06 03:30:00,147.528,147.58,147.503,147.547,240
2023-09-06 03:45:00,147.547,147.597,147.547,147.565,214
2023-09-06 04:00:00,147.565,147.566,147.457,147.484,202
2023-09-06 04:15:00,147.484,147.517,147.451,147.462,254
2023-09-06 04:30:00,147.462,147.487,147.433,147.45,220
2023-09-06 04:45:00,147.45,147.453,147.394,147.399,290
2023-09-06 05:00:00,147.398,147.409,147.331,147.337,303
2023-09-06 05:15:00,147.337,147.392,147.315,147.36,250
2023-09-06 05:30:00,147.36,147.381,147.196,147.205,567
2023-09-06 05:45:00,147.205,147.259,147.015,147.034,752
2023-09-06 06:00:00,147.034,147.177,147.032,147.098,995
2023-09-06 06:15:00,147.098,147.151,147.066,147.1,687
2023-09-06 06:30:00,147.105,147.242,147.102,147.216,532
2023-09-06 06:45:00,147.216,147.296,147.216,147.282,452
2023-09-06 07:00:00,147.282,147.392,147.228,147.39,967
2023-09-06 07:15:00,147.39,147.461,147.33,147.435,1358
2023-09-06 07:30:00,147.435,147.493,147.401,147.469,832
2023-09-06 07:45:00,147.469,147.487,147.371,147.373,609
2023-09-06 08:00:00,147.373,147.487,147.364,147.476,475
2023-09-06 08:15:00,147.476,147.479,147.397,147.397,586
2023-09-06 08:30:00,147.397,147.448,147.388,147.416,417
2023-09-06 08:45:00,147.416,147.416,147.367,147.392,385
2023-09-06 09:00:00,147.392,147.452,147.389,147.425,332
2023-09-06 09:15:00,147.425,147.555,147.381,147.537,635
