time,open,high,low,close,volume
2023-09-05 17:00:00,1.07296,1.07315,1.07251,1.07252,385
2023-09-05 17:15:00,1.07252,1.07278,1.07242,1.07276,363
2023-09-05 17:30:00,1.07276,1.07293,1.0726,1.07266,299
2023-09-05 17:45:00,1.07266,1.07282,1.07228,1.07231,430
2023-09-05 18:00:00,1.07231,1.07242,1.0721,1.0723799999999999,458
2023-09-05 18:15:00,1.0723799999999999,1.07269,1.07232,1.07248,290
2023-09-05 18:30:00,1.07247,1.07251,1.0723,1.07236,168
2023-09-05 18:45:00,1.07236,1.07237,1.07208,1.07215,267
2023-09-05 19:00:00,1.07215,1.0723,1.0719400000000001,1.072,261
2023-09-05 19:15:00,1.072,1.07249,1.07195,1.07245,185
2023-09-05 19:30:00,1.07245,1.07274,1.0724,1.07257,227
2023-09-05 19:45:00,1.07257,1.07266,1.07203,1.07214,441
2023-09-05 20:00:00,1.07214,1.07216,1.0719400000000001,1.0721,174
2023-09-05 20:15:00,1.0721,1.07216,1.07192,1.07205,133
2023-09-05 20:30:00,1.07206,1.07231,1.07205,1.07221,121
2023-09-05 20:45:00,1.07221,1.07225,1.07214,1.07221,200
2023-09-05 21:00:00,1.07221,1.07243,1.07215,1.07227,26
2023-09-05 21:15:00,1.07227,1.0724,1.0722,1.07227,39
2023-09-05 21:30:00,1.07227,1.07241,1.07223,1.07236,140
2023-09-05 21:45:00,1.07236,1.07242,1.07222,1.0723,47
2023-09-05 22:00:00,1.0723,1.07263,1.0723,1.07261,93
2023-09-05 22:15:00,1.07261,1.07265,1.0725,1.07252,86
2023-09-05 22:30:00,1.07252,1.07257,1.0723799999999999,1.07256,60
2023-09-05 22:45:00,1.07256,1.07266,1.07256,1.07266,51
2023-09-05 23:00:00,1.07264,1.07282,1.0725,1.07251,185
2023-09-05 23:15:00,1.07251,1.07272,1.07249,1.07267,140
2023-09-05 23:30:00,1.07266,1.07278,1.07247,1.07251,151
2023-09-05 23:45:00,1.07251,1.07274,1.07241,1.07247,214
2023-09-06 00:00:00,1.07248,1.07262,1.07209,1.07212,246
2023-09-06 00:15:00,1.07212,1.07232,1.07204,1.07205,233
2023-09-06 00:30:00,1.07205,1.07218,1.0717,1.0717,271
2023-09-06 00:45:00,1.0717,1.07197,1.07153,1.07193,391
2023-09-06 01:00:00,1.07193,1.07217,1.07191,1.0721,326
2023-09-06 01:15:00,1.0721,1.07211,1.07153,1.07186,500
2023-09-06 01:30:00,1.07187,1.07195,1.07145,1.07155,571
2023-09-06 01:45:00,1.07155,1.07178,1.07135,1.07146,496
2023-09-06 02:00:00,1.07146,1.07193,1.07145,1.07193,401
2023-09-06 02:15:00,1.07193,1.0725,1.07185,1.07246,344
2023-09-06 02:30:00,1.07246,1.07273,1.07245,1.0727,303
2023-09-06 02:45:00,1.07272,1.07341,1.07267,1.0734,364
2023-09-06 03:00:00,1.0734,1.07345,1.07293,1.07313,311
2023-09-06 03:15:00,1.07313,1.07341,1.07309,1.07337,318
2023-09-06 03:30:00,1.07337,1.07337,1.07306,1.0731600000000001,171
2023-09-06 03:45:00,1.07315,1.07344,1.07307,1.07334,206
2023-09-06 04:00:00,1.07334,1.07361,1.07332,1.07341,191
2023-09-06 04:15:00,1.07341,1.07343,1.07315,1.07326,211
2023-09-06 04:30:00,1.07326,1.07333,1.07312,1.07312,137
2023-09-06 04:45:00,1.07312,1.07361,1.07305,1.07359,284
2023-09-06 05:00:00,1.0735999999999999,1.07367,1.07336,1.07356,261
2023-09-06 05:15:00,1.07356,1.07358,1.07329,1.07347,208
2023-09-06 05:30:00,1.07347,1.07379,1.07332,1.07357,480
2023-09-06 05:45:00,1.07357,1.07388,1.07333,1.07383,650
2023-09-06 06:00:00,1.07383,1.07383,1.07274,1.07315,1062
2023-09-06 06:15:00,1.07315,1.07395,1.07305,1.07382,770
2023-09-06 06:30:00,1.07382,1.07386,1.07294,1.0731600000000001,647
2023-09-06 06:45:00,1.0731600000000001,1.07352,1.0729899999999999,1.07314,693
2023-09-06 07:00:00,1.07314,1.07323,1.07244,1.07264,1212
2023-09-06 07:15:00,1.07262,1.0748199999999999,1.0725500000000001,1.07343,1640
2023-09-06 07:30:00,1.07341,1.07387,1.07319,1.07328,1042
2023-09-06 07:45:00,1.07326,1.07355,1.07276,1.07292,855
2023-09-06 08:00:00,1.07291,1.07351,1.07274,1.07341,958
2023-09-06 08:15:00,1.07341,1.07341,1.07242,1.07325,754
2023-09-06 08:30:00,1.07325,1.07362,1.0731,1.07351,687
2023-09-06 08:45:00,1.07351,1.07376,1.07313,1.07341,816
2023-09-06 09:00:00,1.07341,1.0735,1.07289,1.07311,739
2023-09-06 09:15:00,1.07311,1.07312,1.07259,1.07275,760
2023-09-06 09:30:00,1.07275,1.07292,1.07247,1.07266,673
2023-09-06 09:45:00,1.07266,1.07346,1.07262,1.07323,518
2023-09-06 10:00:00,1.07323,1.07442,1.07323,1.07441,682
2023-09-06 10:15:00,1.07441,1.07442,1.07357,1.07379,568
2023-09-06 10:30:00,1.07379,1.07398,1.07357,1.07385,472
2023-09-06 10:45:00,1.07385,1.07414,1.0737700000000001,1.07386,498
